department;number;valid_to;call_sign;category;transmitter_power;operator_1;operator_2;operator_3;applicant_name;applicant_city;applicant_street;applicant_house;applicant_number;enduser_name;enduser_city;enduser_street;enduser_house;enduser_number;station_city;station_street;station_house;station_number
UKE-Szczecin;81/K/P/2016;2017-02-28;SN0MD;T;500;SP1FMW;SQ1GZS;SP1FYJ;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9A;16;Klub £πcznoúci PZK przy DÍbnowskim Oúrodku Kultury w DÍbnie;DÍbno;DASZY—SKIEGO;20;;DÍbno;DASZY—SKIEGO;20;
UKE-Szczecin;83/K/P/2016;2017-02-28;SN0SZ;T;500;SP1TMN;;;Polski  Zwiπzek  KrÛtkofalowcÛw;Warszawa;OkÛlnik;9A;16;Polski  Zwiπzek  KrÛtkofalowcÛw;Warszawa;OkÛlnik;9A;16;Szczecin;Rubinowa;5;28
UKE-KrakÛw;170/K/I/2012;2017-03-01;SP9KRJ;1;150;SP9NSY;SP9OYB;SP9SVB;Liga Obrony Kraju;Warszawa;ul. Chocimska;14;;Liga Obrony Kraju - Ma≥opolska Organizacja WojewÛdzka w Krakowie;Limanowa;ul. Konopnickiej;6;;Limanowa;ul. Konopnickiej;6;
UKE-Wroc≥aw;140/K/R/2012;2017-03-01;SP6YNR;1;150;SQ6PLD;SP6EUA;SQ6ILG;Centrum Kultury Gminy Nowa Ruda;Ludwikowice K≥odzkie;Fabryczna;2;;SowiogÛrski Klub KrÛtkofalowcÛw;- BRAK DANYCH;;;;Ludwikowice K≥odzkie;ul. Fabryczna;2;
UKE-Warszawa;81/K/B/2012;2017-03-05;SP5PMU;1;500;SP5CCK;SP5GMN;SQ5GRD;WARSZAWSKI ODDZIA£ TERENOWY PZK;Warszawa;ul. Lokajskiego;22;42;Warszawski Oddzia≥ Terenowy PZK;Warszawa;ul. Lokajskiego;22;42;Grodzisk Maz.;ul. Sienkiewicza;27;41
UKE-Warszawa;82/K/B/2012;2017-03-05;SP5PWA;1;500;SP5SSB;SP5CNA;SP5JXK;WARSZAWSKI ODDZIA£ TERENOWY PZK;Warszawa;ul. Lokajskiego;22;42;Warszawski Oddzia≥ Terenowy PZK;Warszawa;ul. Lokajskiego;22;42;Warszawa;ul. Lokajskiego;22;42
UKE-Szczecin;58/K/P/2016;2017-03-06;SN1X;T;1500;SP1MWK;SQ1GU;SQ1TDJ;Ba≥tyckie Stowarzyszenie KrÛtkofalowcÛw;Ko≥obrzeg;Gie≥dowa;11;35;"Radioklub ""FALA"" przy Zespole SzkÛ≥ Morskich w Ko≥obrzegu";Ko≥obrzeg;Arciszewskiego;21;;Ko≥obrzeg;Arciszewskiego;21;
UKE-Olsztyn;3/K/M/2016;2017-03-13;SO4R;T;1500;SP4JCP;SP4ETO;SP4CUF;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9A;16;OlsztyÒski Oddzia≥ Polskiego Zwiπzku KrÛtkofalowcÛw;Olsztyn;Ba≥tycka;37A;;Koniewo;;20;
UKE-Olsztyn;4/K/M/2016;2017-03-13;SO4M;T;1500;SP4MPG;SP4MPB;SP4DEU;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9A;16;OlsztyÒski Oddzia≥ Polskiego Zwiπzku KrÛtkofalowcÛw;Olsztyn;Ba≥tycka;37A;;Barczewko;;133;
UKE-Szczecin;100/K/P/2016;2017-03-13;SN30KZE;T;500;SQ1BHH;SP1MWN;SP1TMB;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9A;16;Klub KrÛtkofalowcÛw PZK w Chojnie;Chojna;JagielloÒska;2;;Chojna;JagielloÒska;2;
UKE-Szczecin;99/K/P/2016;2017-03-13;SN83LOT;T;500;SP1JJY;SQ1SNU;SQ1TAW;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9A;16;Myúliborski Klub £πcznoúci PZK;MyúlibÛrz;1 MAJA;19;;MyúlibÛrz;1 MAJA;19;
UKE-RzeszÛw;3/K/O/2012;2017-03-14;SP8PUB;1;150;SQ8HBT;SP8AQK;SP8IPN;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Klub Polskiego Zwiπzku KrÛtkofalowcÛw przy Zespole SzkÛ≥ Technicznych w Leøajsku;Leøajsk;ul. Mickiewicza;67;;Leøajsk;ul. Mickiewicza;67;
UKE-Warszawa;84/K/B/2012;2017-03-15;SP5ZHG;1;150;SQ5IZO;SQ5IZD;SP5UAR;CHOR•GIEW STO£ECZNA ZHP;Warszawa;ul. Piaskowa;4;;"Harcerski Klub £πcznoúci i Radioorientacji Sportowej przy 200 WDH ""Leúnicy""";Warszawa;Obozowa;60;;Warszawa;Obozowa;60;
UKE-Katowice;177/K/F/2016;2017-03-18;SN9K;T;1500;SP9MDY;;;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9 A;16;Klub £πcznoúci Radiowej PZK SP9KJU w Raciborzu;RacibÛrz;Serafina Myúliwca;9;2 c;RacibÛrz;Serafina Myúliwca;9;2 c
UKE-GdaÒsk;0023/K/E/2012;2017-03-19;SP2KDS;1;500;SQ2BXI;SP2HMR;SP2HAV;TrÛjmiejskie Stowarzyszenie KrÛtkofalowcÛw;GdaÒsk;RzÍsna;1;;TrÛjmiejskie Stowarzyszenie KrÛtkofalowcÛw;GdaÒsk;RzÍsna;1;;CHWASZCZYNO;ul. åwiÍtobora;2;
