number;valid_to;call_sign;category;transmitter_power;applicant_name;applicant_city;applicant_street;applicant_house;applicant_number;enduser_name;enduser_city;enduser_street;enduser_house;enduser_number;station_city;station_street;station_house;station_number;lat;lng
DC.WML.5101.2076.2019.2;2020-06-11;SN110WM;Dodatkowe;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Krobia;ul. ¯eromskiego;3;"";53.032634917;18.782528576
DC.WML.5101.2146.2019.2;2020-06-13;SN2A;Dodatkowe;1500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Tczew;ul. Piaskowa;2;"";;
DC.WML.5101.1760.2019.4;2029-06-21;SP8PCF;Kategoria1;500;Klub Krótkofalowców SP8PCF przy I Liceum Ogólnokszta³c¹cym w £añcucie;£añcut;ul. Mickiewicza;3;"";"";"";"";"";"";Albigowa;Albigowa;300;"";;
DC.WML.5101.2244.2019.2;2029-06-24;SP1KMK;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Nowogard;ul. Bohaterów Warszawy;78;"";53.6677848766;15.1304458271
DC.WML.5101.2245.2019.2;2020-06-24;SN1PM;Dodatkowe;1500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Szczecin;ul. Rubinowa;5;28;;
DC.WML.5101.2364.2019.2;2029-07-09;SP5KSP;Kategoria1;500;"Fundacja ""Wszystkie Kolory Munduru""";Warszawa;ul. Magnacka;7;6;"";"";"";"";"";Warszawa;ul. Magnacka;7;6;52.1951328887;20.85819575
DC.WML.5101.2293.2019.2;2029-07-11;SP7ZPT;Kategoria1;500;Zwi¹zek Harcerstwa Polskiego, Chor¹giew £ódzka;£ódŸ;Stefanowskiego;19;"";"";"";"";"";"";Piotrków Trybunalski;ul. Sienkiewicza;7;"";52.2255078461;20.8320682515
DC.WML.5101.2331.2019.2;2020-07-04;SN120OSP;Dodatkowe;1500;Ochotnicza Stra¿ Po¿arna w Orzechu Gmina Œwierklaniec;Orzech;ul. Wieczorków;34;"";"";"";"";"";"";Orzech;ul. Wieczorków;34;"";;
DC.WML.5101.2346.2019.2;2029-07-04;SP0WFF;Kategoria1;500;Warszawski Oddzia³ Terenowy Polskiego Zwi¹zku Krótkofalowców;Warszawa;ul. Eugeniusza Lokajskiego;22;42;"";"";"";"";"";Warszawa;ul. Eugeniusza Lokajskiego;22;42;52.1406816129;21.0655593704
DC.WML.5101.2383.2019.2;2020-07-11;HF0PCK;Dodatkowe;1500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Szczecin;ul. Wawrzyniaka;5;"";;
DC.WML.5101.2384.2019.2;2020-07-11;SN50PBW;Dodatkowe;1500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Szczecin;u. Wawrzyniaka;5;"";;
DC.WML.5101.2385.2019.2;2029-07-19;SP6ZWR;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Wysoka;ul. Sezamkowa;13;"";51.8688638632;15.1836626882
DC.WML.5101.2417.2019.2;2029-07-16;SP1PK;Kategoria1;500;Œrodkowopomorski Oddzia³ Polskiego Zwi¹zku Krótkofalowców w Koszalinie;Koszalin;Œniadeckich;1A;16;"";"";"";"";"";Koszalin;ul. Œniadeckich;2;"";;
DC.WML.5101.2418.2019.2;2029-07-16;SP2BYD;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Bydgoszcz;ul. Orla;46;"";53.1209975745;18.0447200466
DC.WML.5101.2419.2019.2;2020-07-16;SN0L;Dodatkowe;1500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Limanowa;ul. Bronis³awa Czecha;4;"";;
DC.WML.5101.2440.2019.2;2020-07-18;SN80FL;Dodatkowe;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Nowe Dobra;"";96;"";53.363685642;18.4587431848
DC.WML.5101.2441.2019.2;2020-07-18;SN80TR;Dodatkowe;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Toruñ;ul. Boles³awa Chrobrego;86;Fort IV;;
DC.WML.5101.2492.2019.2;2020-07-26;HF80WIELUN;Dodatkowe;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Ruda;ul. D³uga;31;"";50.2880872136;18.8758617292
DC.WML.5101.2495.2019.3;2029-07-30;SP3POB;Kategoria1;500;Stowarzyszenie Krótkofalowców Ziemi Dobrzyckiej;Dobrzyca;ul. KoŸmiñska;10;"";"";"";"";"";"";Dobrzyca;ul. KoŸmiñska;10;"";;
DC.WML.5101.2378.2019.4;2027-02-27;SP9RNS;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;Nowy S¹cz;ul. ks. Gurgacza;18;"";52.9410387697;22.3125025088
DC.WML.5101.2546.2019.2;2020-08-06;HF100CC;Dodatkowe;1500;Warszawski Oddzia³ Terenowy Polskiego Zwi¹zku Krótkofalowców;Warszawa;ul. Eugeniusza Lokajskiego;22;42;"";"";"";"";"";Zegrze;ul. Juzistek;2 bl.4;328a;;
DC.WML.5101.2696.2019.2;2020-09-06;SN9H;Dodatkowe;1500;Fundacja Hackerspace Kraków;Kraków;ul. Zacisze;5;P1;"";"";"";"";"";Kraków;ul. Zacisze;5;P1;;
DC.WML.5101.2681.2019.4;2029-09-11;SP4YHA;Kategoria1;500;Polskie Towarzystwo Turystyczno-Krajoznawcze Regionalny Oddzia³ w Bia³ymstoku;"";"";"";"";"";"";"";"";"";Izabelin;ul. Ordynacka;5;"";52.7110306437;19.4608664259
DC.WML.5101.2876.2019.2;2029-09-24;SP4KVA;Kategoria1;500;Liga Obrony Kraju;Warszawa;Chocimska;14;"";"";"";"";"";"";I³awa;ul. Kard. Stefana Wyszyñskiego;15;"";53.5996791147;19.5739016925
